"Sample","Dilution","Count","CFU_Count","Cq","Quantity","CFU_TaqMan"
"mLN_B1","N2",21,NA,NA,NA,NA
"mLN_B1","N2.1",24,NA,NA,NA,NA
"mLN_B1","N3",NA,NA,NA,NA,NA
"mLN_B1","N3.1",NA,NA,NA,NA,NA
"mLN_B2","N2",11,NA,NA,NA,NA
"mLN_B2","N2.1",4,NA,NA,NA,NA
"mLN_B2","N3",NA,NA,NA,NA,NA
"mLN_B2","N3.1",NA,NA,NA,NA,NA
"mLN_B3","N2",22,NA,NA,NA,NA
"mLN_B3","N2.1",20,NA,NA,NA,NA
"mLN_B3","N3",NA,NA,NA,NA,NA
"mLN_B3","N3.1",NA,NA,NA,NA,NA
"mLN_B4","N2",7,NA,NA,NA,NA
"mLN_B4","N2.1",15,NA,NA,NA,NA
"mLN_B4","N3",NA,NA,NA,NA,NA
"mLN_B4","N3.1",NA,NA,NA,NA,NA
"mLN_S1","N2",26,NA,NA,NA,NA
"mLN_S1","N2.1",15,NA,NA,NA,NA
"mLN_S1","N3",NA,NA,NA,NA,NA
"mLN_S1","N3.1",NA,NA,NA,NA,NA
"mLN_S2","N2",39,NA,NA,NA,NA
"mLN_S2","N2.1",38,NA,NA,NA,NA
"mLN_S2","N3",NA,NA,NA,NA,NA
"mLN_S2","N3.1",NA,NA,NA,NA,NA
"mLN_S3","N2",NA,NA,NA,NA,NA
"mLN_S3","N2.1",NA,NA,NA,NA,NA
"mLN_S3","N3",4,80000,NA,NA,NA
"mLN_S3","N3.1",4,80000,NA,NA,NA
"mLN_S5","N2",NA,NA,NA,NA,NA
"mLN_S5","N2.1",NA,NA,NA,NA,NA
"mLN_S5","N3",7,140000,NA,NA,NA
"mLN_S5","N3.1",8,160000,NA,NA,NA
"Spleen_B1","N2",28,NA,NA,NA,NA
"Spleen_B1","N2.1",37,NA,NA,NA,NA
"Spleen_B1","N3",NA,NA,NA,NA,NA
"Spleen_B1","N3.1",NA,NA,NA,NA,NA
"Spleen_B2","N2",27,NA,NA,NA,NA
"Spleen_B2","N2.1",19,NA,NA,NA,NA
"Spleen_B2","N3",NA,NA,NA,NA,NA
"Spleen_B2","N3.1",NA,NA,NA,NA,NA
"Spleen_B3","N2",4,NA,NA,NA,NA
"Spleen_B3","N2.1",6,NA,NA,NA,NA
"Spleen_B3","N3",NA,NA,NA,NA,NA
"Spleen_B3","N3.1",NA,NA,NA,NA,NA
"Spleen_B4","N2",12,NA,NA,NA,NA
"Spleen_B4","N2.1",13,NA,NA,NA,NA
"Spleen_B4","N3",NA,NA,NA,NA,NA
"Spleen_B4","N3.1",NA,NA,NA,NA,NA
"Spleen_S1","N2",16,NA,NA,NA,NA
"Spleen_S1","N2.1",14,NA,NA,NA,NA
"Spleen_S1","N3",NA,NA,NA,NA,NA
"Spleen_S1","N3.1",NA,NA,NA,NA,NA
"Spleen_S2","N2",28,NA,NA,NA,NA
"Spleen_S2","N2.1",22,NA,NA,NA,NA
"Spleen_S2","N3",NA,NA,NA,NA,NA
"Spleen_S2","N3.1",NA,NA,NA,NA,NA
"Spleen_S3","N2",16,NA,NA,NA,NA
"Spleen_S3","N2.1",18,NA,NA,NA,NA
"Spleen_S3","N3",NA,NA,NA,NA,NA
"Spleen_S3","N3.1",NA,NA,NA,NA,NA
"Spleen_S4","N2",NA,NA,NA,NA,NA
"Spleen_S4","N2.1",NA,NA,NA,NA,NA
"Spleen_S4","N3",11,220000,NA,NA,NA
"Spleen_S4","N3.1",8,160000,NA,NA,NA
"Spleen_S5","N2",9,NA,NA,NA,NA
"Spleen_S5","N2.1",5,NA,NA,NA,NA
"Spleen_S5","N3",NA,NA,NA,NA,NA
"Spleen_S5","N3.1",NA,NA,NA,NA,NA
